SensorLocation,Type,Place,Activity
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
Bed,Pressure,Bedroom,Sleeping
