fare_amount,trip_distance,hour,date,RatecodeID,payment_type,extra,tolls_amount,PickUDropO
13.5,1.7,8,2017-05-02,1,2,0.0,0.0,306
16.5,1.71,8,2017-05-02,1,1,0.0,0.0,469
7.0,0.84,8,2017-05-02,1,1,0.0,0.0,404
19.0,5.55,8,2017-05-02,1,1,0.0,0.0,220
15.0,1.5,8,2017-05-02,1,1,0.0,0.0,370
19.0,4.7,8,2017-05-02,1,1,0.0,0.0,155
14.0,1.8,8,2017-05-02,1,1,0.0,0.0,213
18.5,2.3,8,2017-05-02,1,1,0.0,0.0,284
10.5,1.9,8,2017-05-02,1,1,0.0,0.0,285
10.5,1.88,8,2017-05-02,1,1,0.0,0.0,467
5.0,0.52,8,2017-05-02,1,2,0.0,0.0,294
17.5,2.55,8,2017-05-02,1,1,0.0,0.0,400
18.5,2.9,8,2017-05-02,1,2,0.0,0.0,455
19.0,5.11,8,2017-05-02,1,1,0.0,0.0,92
6.5,0.87,8,2017-05-02,1,1,0.0,0.0,402
10.0,1.4,8,2017-05-02,1,1,0.0,0.0,210
3.5,0.3,8,2017-05-02,1,2,0.0,0.0,322
23.0,5.67,8,2017-05-02,1,1,0.0,0.0,228
14.0,2.39,8,2017-05-02,1,1,0.0,0.0,318
4.0,0.54,8,2017-05-02,1,2,0.0,0.0,220
37.0,12.03,8,2017-05-02,1,1,0.0,5.76,368
12.5,1.2,8,2017-05-02,1,1,0.0,0.0,377
7.5,1.69,8,2017-05-02,1,1,0.0,0.0,477
10.0,1.46,8,2017-05-02,1,2,0.0,0.0,116
8.0,1.5,8,2017-05-02,1,2,0.0,0.0,500
15.5,3.66,8,2017-05-02,1,2,0.0,0.0,209
52.0,19.06,8,2017-05-02,2,2,0.0,5.76,248
6.5,0.75,8,2017-05-02,1,1,0.0,0.0,371
7.0,1.09,8,2017-05-02,1,1,0.0,0.0,473
8.5,0.9,8,2017-05-02,1,1,0.0,0.0,282
24.0,5.5,8,2017-05-02,1,2,0.0,0.0,422
9.5,1.9,8,2017-05-02,1,1,0.0,0.0,388
12.0,1.9,17,2017-05-02,1,1,1.0,0.0,194
10.5,1.87,8,2017-05-02,1,1,0.0,0.0,212
12.0,1.6,8,2017-05-02,1,1,0.0,0.0,399
8.5,1.3,8,2017-05-02,1,1,0.0,0.0,480
16.5,4.0,8,2017-05-02,1,1,0.0,0.0,63
9.0,1.13,8,2017-05-02,1,1,0.0,0.0,175
5.5,0.81,8,2017-05-02,1,1,0.0,0.0,528
21.5,5.5,8,2017-05-02,1,2,0.0,0.0,149
4.5,0.5,8,2017-05-02,1,1,0.0,0.0,354
5.5,0.55,8,2017-05-02,1,2,0.0,0.0,369
11.0,1.33,8,2017-05-02,1,1,0.0,0.0,398
9.0,1.2,8,2017-05-02,1,1,0.0,0.0,290
4.5,0.56,8,2017-05-02,1,2,0.0,0.0,158
10.0,0.71,8,2017-05-02,1,2,0.0,0.0,526
6.0,0.9,8,2017-05-02,1,1,0.0,0.0,311
8.5,1.3,8,2017-05-02,1,1,0.0,0.0,147
13.0,2.64,8,2017-05-02,1,2,0.0,0.0,225
11.0,2.14,8,2017-05-02,1,1,0.0,0.0,360
13.0,2.15,8,2017-05-02,1,2,0.0,0.0,359
21.0,4.4,8,2017-05-02,1,1,0.0,0.0,398
7.0,0.9,8,2017-05-02,1,1,0.0,0.0,311
15.0,1.6,8,2017-05-02,1,2,0.0,0.0,303
7.0,0.9,8,2017-05-02,1,2,0.0,0.0,192
44.5,15.6,8,2017-05-02,1,1,0.0,5.76,399
30.0,8.74,8,2017-05-02,1,1,0.0,0.0,493
6.5,0.91,8,2017-05-02,1,1,0.0,0.0,393
7.0,0.62,8,2017-05-02,1,2,0.0,0.0,85
36.5,10.6,8,2017-05-02,1,1,0.0,5.76,301
15.0,2.1,8,2017-05-02,1,1,0.0,0.0,476
15.5,3.4,8,2017-05-02,1,2,0.0,0.0,425
9.5,1.1,8,2017-05-02,1,1,0.0,0.0,299
15.0,2.93,8,2017-05-02,1,1,0.0,0.0,466
7.5,1.4,8,2017-05-02,1,1,0.0,0.0,100
16.5,2.9,8,2017-05-02,1,1,0.0,0.0,470
13.5,1.9,8,2017-05-02,1,1,0.0,0.0,232
12.5,2.1,8,2017-05-02,1,1,0.0,0.0,300
4.5,0.83,8,2017-05-02,1,1,0.0,0.0,474
14.5,3.34,8,2017-05-02,1,1,0.0,0.0,284
14.0,2.71,8,2017-05-02,1,1,0.0,0.0,265
6.0,0.7,8,2017-05-02,1,2,0.0,0.0,473
10.0,1.3,8,2017-05-02,1,2,0.0,0.0,463
8.0,1.5,8,2017-05-02,1,1,0.0,0.0,250
11.5,0.92,8,2017-05-02,1,1,0.0,0.0,391
7.0,0.41,8,2017-05-02,1,1,0.0,0.0,322
4.5,0.54,8,2017-05-02,1,1,0.0,0.0,274
13.0,2.6,8,2017-05-02,1,1,0.0,0.0,360
15.0,2.56,8,2017-05-02,1,1,0.0,0.0,328
6.0,1.1,8,2017-05-02,1,1,0.0,0.0,473
6.0,0.77,8,2017-05-02,1,1,0.0,0.0,347
11.5,2.8,8,2017-05-02,1,1,0.0,0.0,477
21.0,7.1,8,2017-05-02,1,1,0.0,5.76,213
6.5,0.7,8,2017-05-02,1,1,0.0,0.0,277
7.0,0.99,8,2017-05-02,1,2,0.0,0.0,270
9.0,1.38,8,2017-05-02,1,2,0.0,0.0,347
12.0,1.34,8,2017-05-02,1,2,0.0,0.0,399
17.0,2.95,8,2017-05-02,1,1,0.0,0.0,206
47.0,16.29,8,2017-05-02,1,1,0.0,5.76,399
19.0,4.5,8,2017-05-02,1,1,0.0,0.0,253
8.0,0.94,8,2017-05-02,1,1,0.0,0.0,498
7.5,0.99,8,2017-05-02,1,2,0.0,0.0,390
8.0,1.1,8,2017-05-02,1,2,0.0,0.0,325
12.0,1.54,8,2017-05-02,1,1,0.0,0.0,348
10.5,1.32,8,2017-05-02,1,1,0.0,0.0,318
5.5,0.82,8,2017-05-02,1,1,0.0,0.0,206
10.0,1.1,8,2017-05-02,1,1,0.0,0.0,304
17.0,4.25,8,2017-05-02,1,1,0.0,0.0,181
13.5,1.8,8,2017-05-02,1,4,0.0,0.0,398
7.0,1.1,8,2017-05-02,1,1,0.0,0.0,118
5.5,0.9,8,2017-05-02,1,1,0.0,0.0,382
16.0,2.35,8,2017-05-02,1,1,0.0,0.0,495
5.0,0.73,8,2017-05-02,1,1,0.0,0.0,180
4.5,0.57,8,2017-05-02,1,1,0.0,0.0,350
7.5,1.18,8,2017-05-02,1,2,0.0,0.0,380
16.5,2.6,8,2017-05-02,1,1,0.0,0.0,423
6.5,0.8,8,2017-05-02,1,1,0.0,0.0,214
6.0,0.7,8,2017-05-02,1,2,0.0,0.0,294
5.0,0.4,8,2017-05-02,1,1,0.0,0.0,332
52.0,21.43,8,2017-05-02,2,1,0.0,5.76,293
18.0,4.08,8,2017-05-02,1,2,0.0,0.0,80
7.5,0.9,8,2017-05-02,1,1,0.0,0.0,93
10.5,1.5,8,2017-05-02,1,1,0.0,0.0,334
6.5,0.4,8,2017-05-02,1,1,0.0,0.0,378
7.5,1.09,8,2017-05-02,1,1,0.0,0.0,498
4.0,0.33,8,2017-05-02,1,1,0.0,0.0,214
5.0,0.7,8,2017-05-02,1,2,0.0,0.0,96
5.5,0.8,8,2017-05-02,1,1,0.0,0.0,404
24.0,4.01,8,2017-05-02,1,1,0.0,0.0,252
10.0,1.32,8,2017-05-02,1,2,0.0,0.0,326
4.5,0.5,8,2017-05-02,1,1,0.0,0.0,280
